n_vertex, run_0, run_1, run_2, run_3, run_4
5, 0.093, 0.093, 0.097, 0.112, 0.102
7, 0.148, 0.162, 0.175, 0.180, 0.186
9, 0.217, 0.246, 0.251, 0.272, 0.270
13, 0.393, 0.450, 0.426, 0.448, 0.482
19, 0.716, 0.704, 0.756, 0.773, 0.855
27, 1.049, 1.160, 1.191, 1.273, 1.336
38, 1.661, 1.816, 1.952, 1.998, 2.224
54, 2.590, 2.818, 2.936, 4.052, 4.103
76, 5.775, 4.731, 6.696, 5.631, 5.710
108, 7.656, 8.389, 7.943, 8.205, 9.183
152, 10.908, 11.789, 11.991, 11.868, 12.516
213, 14.793, 16.105, 21.212, 18.667, 19.411
301, 22.346, 25.904, 27.264, 29.081, 30.369
423, 35.043, 38.066, 40.186, 41.123, 41.480
596, 51.966, 73.041, 74.744, 79.431, 71.066
838, 82.212, 105.762, 90.715, 116.157, 93.025
1180, 114.880, 131.495, 134.816, 144.285, 147.772
1660, 175.567, 200.434, 208.617, 206.671, 220.842
2336, 276.512, 285.964, 294.412, 313.081, 329.780
3287, 368.735, 435.351, 435.025, 458.541, 440.847
4625, 574.809, 592.493, 629.159, 675.434, 701.406
6508, 817.621, 853.906, 859.192, 956.113, 972.795
9158, 1132.679, 1170.607, 1291.454, 1324.784, 1387.240
12886, 1595.838, 1746.039, 1848.998, 1978.910, 2101.211
18131, 2326.268, 2463.466, 2757.989, 2872.716, 3030.491
25512, 3473.534, 3590.351, 3993.303, 4074.678, 4375.226
35897, 5046.446, 5256.421, 5826.765, 5998.273, 6294.339
50509, 7261.424, 7940.762, 8383.245, 8737.728, 9225.252
71070, 10487.848, 11361.145, 12859.124, 13408.118, 14437.454
100000, 16817.226, 17115.969, 18965.819, 21491.002, 20870.021
